9,11,14,20,30,34,36
9,15,17,20,22,30,34
7,10,12,17,22,30,35
4,12,16,23,26,29,35
2,9,13,22,30,34,36
2,4,12,23,26,31,34
2,12,15,22,27,30,34
1,4,12,15,22,32,34
7,12,15,18,20,35,37
7,9,11,18,21,30,34
4,7,12,21,29,32,35
7,10,12,26,29,35,37
9,12,15,18,22,30,37
1,7,12,20,22,30,34
4,12,19,26,29,32,34
7,10,15,17,20,29,35
7,12,20,22,26,33,35
2,9,12,15,22,31,36
4,7,11,14,22,30,34
2,4,9,21,23,30,34
4,7,13,23,26,29,34
7,10,15,18,21,30,35
2,9,12,20,30,34,37
4,7,12,20,29,31,34
7,11,15,20,27,30,34
7,9,15,18,20,24,30
7,10,14,20,29,34,36
7,12,15,22,29,31,35
9,12,15,17,22,32,35
4,7,10,17,20,30,34
1,11,15,22,30,34,36
2,4,15,19,22,34,36
2,7,14,23,30,34,36
7,9,20,22,27,34,36
4,7,12,16,23,32,34
4,12,15,19,23,32,35
12,15,18,24,26,29,35
4,7,10,12,23,33,35
4,8,11,15,21,30,34
2,9,11,15,19,30,34
9,11,15,18,31,34,36
2,4,9,20,31,34,36
7,9,11,17,22,30,36
10,12,15,17,22,34,36
2,4,12,27,29,34,36
2,4,12,19,22,26,35
4,7,12,16,18,29,36
2,7,15,17,20,34,36
1,4,11,23,26,30,34
7,10,14,20,26,30,35
4,7,20,24,26,29,35
4,7,11,21,23,26,35
4,12,15,21,23,29,34
7,10,12,21,23,30,34
7,9,12,17,22,29,34
9,12,20,22,26,31,34
7,10,12,15,20,31,36
4,7,11,23,31,34,36
7,9,11,20,30,35,37
2,9,15,20,27,30,36
5,9,12,22,30,32,34
4,10,12,17,20,26,35
7,12,15,18,22,27,36
7,9,11,20,24,26,34
2,9,12,15,21,32,34
4,12,15,18,22,33,35
9,13,15,18,23,30,34
4,12,13,22,23,30,34
12,13,15,22,23,26,35
1,4,7,22,23,34,35
7,12,13,18,22,34,35
7,14,15,20,22,34,35
9,12,13,22,26,29,30
7,9,10,20,21,30,36
2,4,14,15,23,34,35
10,12,13,15,18,35,36
7,8,15,21,23,34,35
7,9,20,21,29,34,35
4,12,13,18,26,32,35
8,9,14,15,22,34,36
4,10,12,13,29,34,35
12,14,15,20,29,30,34
7,9,12,21,22,23,35
9,15,18,21,22,34,35
7,10,12,18,30,36,37
4,7,11,20,33,34,35
4,8,12,21,22,34,35
1,12,22,26,29,34,35
7,12,15,21,22,30,32
8,9,20,21,26,30,34
12,15,17,20,23,34,35
2,4,12,13,23,35,36
7,12,15,17,18,29,30
7,12,20,21,26,29,30
9,10,12,14,29,30,36
2,15,20,21,30,34,35
7,11,15,17,18,34,35
7,8,9,15,20,34,37
7,12,14,23,29,34,35
2,5,12,22,34,35,36
8,9,12,15,18,24,36
4,13,20,22,26,34,35
4,9,15,22,23,31,34
7,10,14,15,22,30,36
2,12,15,18,19,34,35
8,9,11,12,24,30,34
7,12,22,23,26,27,34
1,9,12,22,23,34,36
9,12,13,20,22,35,36
4,15,17,22,29,34,35
2,4,26,28,29,34,35
2,9,14,15,20,26,34
7,10,11,24,30,34,36
9,14,22,23,26,30,34
7,15,18,19,29,35,36
9,15,17,18,20,35,36
1,4,12,18,29,30,34
7,8,12,18,21,35,36
8,9,12,18,26,35,37
5,7,12,22,29,30,36
8,9,12,21,22,30,36
4,8,9,13,23,34,35
2,4,7,29,30,33,34
4,9,13,20,29,30,34
4,7,8,20,21,34,36
7,10,18,20,24,35,36
7,8,12,15,18,31,34
4,8,9,12,31,32,34
7,12,15,16,26,29,32
7,9,12,29,30,32,37
1,8,9,15,29,30,34
7,9,10,22,30,31,34
7,15,17,22,23,35,36
8,9,11,18,30,36,37
11,12,17,22,26,30,34
9,12,18,21,29,30,35
12,13,15,18,20,26,30
4,10,12,26,29,30,33
4,12,13,20,26,29,36
10,13,15,22,30,34,35
4,7,8,16,29,34,35
7,11,15,20,21,35,36
11,12,13,18,22,30,36
4,12,21,22,23,26,32
8,12,13,15,32,34,35
9,10,12,17,18,30,34
9,12,15,18,19,26,32
7,10,12,13,22,26,36
1,4,15,18,20,34,35
4,10,15,21,32,34,35
