1,11,16,19,26,28
2,11,22,26,33,35
1,2,13,22,33,35
1,11,16,22,26,43
11,19,20,26,29,42
1,5,11,16,26,37
1,5,16,19,40,42
1,5,6,22,33,35
1,2,22,26,28,33
1,19,22,33,35,42
1,11,16,21,26,42
1,2,19,22,26,42
1,11,19,26,33,40
1,11,22,26,28,30
1,5,11,16,22,42
1,11,26,28,37,42
1,4,16,19,22,35
5,11,16,21,22,26
1,16,18,26,28,37
5,11,18,26,37,40
1,4,16,19,29,42
1,2,16,22,35,38
3,11,18,19,26,40
1,2,16,33,35,43
1,11,22,35,38,43
1,5,19,26,28,40
1,2,11,19,22,40
1,16,19,22,38,42
4,11,22,26,28,37
1,11,22,26,33,37
11,22,26,28,38,43
1,11,16,26,33,38
11,18,19,22,26,28
1,16,18,19,22,26
5,19,20,26,28,29
5,11,12,19,26,28
1,5,16,33,35,42
1,7,11,26,28,43
1,11,16,18,33,37
1,11,18,21,26,37
4,11,16,19,22,28
1,11,13,26,28,35
4,5,21,22,26,28
11,19,26,28,32,43
2,5,22,26,28,35
1,16,21,22,35,37
1,6,16,19,22,40
1,2,26,33,35,42
2,5,19,21,22,26
1,2,16,22,26,39
2,6,19,22,33,35
2,11,16,19,26,33
3,11,16,22,26,28
1,5,11,19,28,42
1,7,11,19,26,42
11,16,26,28,37,43
1,5,11,22,26,40
1,5,19,22,42,43
1,11,16,19,39,42
4,11,19,22,26,42
1,5,13,16,21,42
2,11,22,25,26,28
2,11,22,26,37,43
1,11,13,19,22,42
1,5,16,20,22,33
5,16,19,21,42,43
5,11,21,26,28,37
1,2,13,19,35,42
5,11,22,26,28,31
1,2,11,16,33,42
4,19,21,22,29,42
1,11,21,26,28,32
2,5,16,22,33,35
1,19,22,26,28,32
1,2,12,22,26,35
1,11,18,22,33,35
1,13,16,26,33,35
1,16,26,29,33,42
1,22,26,28,42,43
1,2,22,35,37,43
1,22,26,33,35,38
11,16,18,26,37,38
2,18,19,22,26,37
1,5,16,25,26,28
11,19,26,28,33,37
1,6,11,22,33,42
1,11,16,19,22,37
1,19,21,28,40,42
1,13,16,19,20,42
1,11,16,20,26,31
5,19,20,21,26,42
1,16,22,26,37,42
5,11,18,19,21,26
1,5,16,26,42,43
1,16,21,22,33,42
1,5,19,22,26,33
1,11,16,28,38,43
11,21,22,26,28,35
2,11,13,26,35,42
11,19,26,28,30,40
2,13,19,26,28,42
1,4,26,28,29,42
1,2,11,13,26,43
11,16,18,19,37,42
1,11,16,29,30,33
1,6,13,33,35,42
1,16,20,21,29,42
1,15,16,19,40,42
6,11,18,26,28,37
1,4,11,26,28,40
1,5,18,26,33,37
1,3,19,22,35,42
1,5,16,18,26,34
4,19,22,28,29,37
4,19,28,29,33,42
1,13,22,35,42,43
1,2,19,26,42,43
11,13,16,22,26,35
19,22,26,28,37,40
1,16,26,28,30,33
1,11,26,28,41,42
6,11,19,26,40,42
1,5,11,19,30,40
1,16,19,26,28,39
2,11,19,21,22,42
1,16,19,28,40,43
1,5,16,21,22,40
2,19,22,26,28,33
11,19,26,28,39,42
1,19,21,22,25,42
1,5,16,22,26,41
1,5,12,19,21,42
1,5,16,19,37,38
1,5,11,13,26,42
5,16,19,22,26,43
1,5,11,19,22,38
16,18,19,26,37,40
1,6,11,22,26,43
1,11,15,16,26,42
2,5,21,26,28,42
1,2,16,19,28,35
2,11,21,22,26,34
1,2,13,28,33,35
1,2,4,22,26,43
1,2,16,26,28,41
1,2,13,22,35,40
1,19,22,28,33,40
1,4,11,22,29,42
1,4,22,28,35,37
1,18,19,22,33,37
1,2,13,22,26,37
2,13,19,22,37,42
1,11,26,28,30,38
1,2,22,26,31,33
5,6,19,22,33,35
1,11,18,26,28,31
11,19,20,26,29,38
1,6,16,19,37,40
1,2,16,33,35,41
1,5,16,20,29,37
11,16,25,26,28,43
5,19,22,26,28,38
18,19,26,28,37,43
1,20,22,26,29,33
1,15,16,26,28,37
11,19,20,22,29,30
5,16,19,21,40,43
2,5,11,13,22,42
1,11,20,26,29,30
1,11,19,24,33,40
1,2,22,28,33,43
11,26,28,29,33,43
2,10,11,22,26,43
1,16,18,21,22,37
1,11,18,22,37,40
1,19,22,26,35,41
1,2,13,16,35,43
1,2,16,33,37,43
11,18,26,34,37,43
11,19,21,26,37,40
4,5,11,26,28,38
1,5,21,26,28,37
5,11,16,21,26,28
1,2,16,26,37,38
5,19,26,28,37,42
5,11,16,22,24,26
2,11,16,22,26,33
1,12,19,22,40,42
1,16,19,21,37,42
1,15,22,26,33,35
1,5,11,26,40,43
5,16,18,22,26,37
11,20,21,26,28,42
5,16,19,21,33,42
1,19,22,38,40,43
1,11,19,26,30,33
1,4,16,20,22,43
1,13,16,19,22,33
1,11,22,25,26,37
1,5,12,16,19,43
1,16,18,19,22,43
1,11,21,26,38,43
11,18,21,22,26,42
5,11,22,25,26,28
1,11,22,38,42,43
1,16,19,28,38,42
5,11,19,22,40,43
1,11,16,18,19,33
1,16,26,33,42,43
1,3,11,22,26,42
1,11,19,25,40,42
1,16,22,28,33,42
11,15,16,19,26,28
1,11,13,19,26,40
1,3,16,19,42,43
1,16,21,38,42,43
11,16,26,28,37,38
1,11,24,26,28,37
1,4,16,19,22,38
2,5,22,26,35,38
2,22,26,35,37,42
1,13,22,35,38,43
5,11,13,18,26,37
1,4,13,22,35,42
5,18,19,21,37,40
1,13,16,29,33,42
1,2,5,26,35,43
1,5,20,22,29,42
1,11,16,21,28,32
1,7,16,17,22,35
2,5,22,33,35,42
5,11,13,16,22,35
1,5,21,34,42,43
1,3,16,18,37,43
11,22,26,28,33,40
1,7,12,22,33,35
1,5,19,26,38,40
1,6,11,22,35,40
1,22,33,35,40,42
1,4,11,22,28,30
1,2,11,13,33,42
1,16,22,29,33,38
2,18,19,26,37,42
19,20,22,28,29,40
5,19,22,26,35,37
1,4,28,29,33,42
1,4,11,16,28,38
1,4,18,19,26,28
1,4,11,19,28,33
1,19,28,29,33,38
11,13,18,22,26,28
1,11,14,26,28,32
1,7,11,26,28,41
1,2,19,20,29,42
1,6,28,33,35,43
1,2,13,22,33,37
1,15,16,22,35,42
2,5,13,22,26,43
1,2,19,33,40,42
1,11,16,18,37,41
16,19,21,28,40,42
2,11,16,21,26,37
2,19,22,26,41,42
2,11,19,26,39,42
13,19,22,33,35,42
